Summary for Savings Accounts - EUR						
Description	Amount					
Saldo początkowe	0€					
Suma wpłat	697,92€					
Suma wypłat	613,84€					
Łączna kwota zarobionych odsetek	1,66€					
Podatek ogółem	0€					
Opłaty ogółem	0€					
Saldo końcowe	85,74€					
						
Summary for Savings Accounts - PLN						
Description	Amount					
Saldo początkowe	0 PLN					
Suma wpłat	1 300,00 PLN					
Suma wypłat	1 310,09 PLN					
Łączna kwota zarobionych odsetek	10,09 PLN					
Podatek ogółem	0 PLN					
Opłaty ogółem	0 PLN					
Saldo końcowe	0 PLN					
						
Summary for Crypto						
Sells summary	Amount					
Wpływy brutto	7,95$					
Podstawa kosztowa	0$					
Zrealizowany zysk/strata brutto	7,95$					
						
Transactions for Savings Accounts - EUR						
Date	Description	Money out	Money in	Balance		
25 lut 2023	4 sty 2025	DOT	0.0681165	0$	0,53$	0,53$
25 lut 2023	4 sty 2025	DOT	0.06808116	0$	0,53$	0,53$
25 lut 2023	4 sty 2025	DOT	0.0681444	0$	0,53$	0,53$
27 lut 2023	4 sty 2025	DOT	0.00030635	0$	0$	0$
28 lut 2023	4 sty 2025	DOT	0.00018829	0$	0$	0$
28 lut 2023	4 sty 2025	DOT	0.00009326	0$	0$	0$
1 Mar 2023	4 sty 2025	DOT	0.00002223	0$	0$	0$
1 Mar 2023	4 sty 2025	DOT	0.00020375	0$	0$	0$
2 Mar 2023	4 sty 2025	DOT	0.00010264	0$	0$	0$
2 Mar 2023	4 sty 2025	DOT	0.00015975	0$	0$	0$
3 Mar 2023	4 sty 2025	DOT	0.00006349	0$	0$	0$
3 Mar 2023	4 sty 2025	DOT	0.00018924	0$	0$	0$
4 Mar 2023	4 sty 2025	DOT	0.00004177	0$	0$	0$
5 Mar 2023	4 sty 2025	DOT	0.00017962	0$	0$	0$
5 Mar 2023	4 sty 2025	DOT	0.00020605	0$	0$	0$
6 Mar 2023	4 sty 2025	DOT	0.00005722	0$	0$	0$
6 Mar 2023	4 sty 2025	DOT	0.00010166	0$	0$	0$
6 Mar 2023	4 sty 2025	DOT	0.0001305	0$	0$	0$
7 Mar 2023	4 sty 2025	DOT	0.00012144	0$	0$	0$
7 Mar 2023	4 sty 2025	DOT	0.00014709	0$	0$	0$
8 Mar 2023	4 sty 2025	DOT	0.00007126	0$	0$	0$
9 Mar 2023	4 sty 2025	DOT	0.00020688	0$	0$	0$
9 Mar 2023	4 sty 2025	DOT	0.00012994	0$	0$	0$
9 Mar 2023	4 sty 2025	DOT	0.00011134	0$	0$	0$
10 Mar 2023	4 sty 2025	DOT	0.00023844	0$	0$	0$
11 Mar 2023	4 sty 2025	DOT	0.00010157	0$	0$	0$
11 Mar 2023	4 sty 2025	DOT	0.00012901	0$	0$	0$
12 Mar 2023	4 sty 2025	DOT	0.00007029	0$	0$	0$
13 Mar 2023	4 sty 2025	DOT	0.00019052	0$	0$	0$
14 Mar 2023	4 sty 2025	DOT	0.00019492	0$	0$	0$
14 Mar 2023	4 sty 2025	DOT	0.00011915	0$	0$	0$
14 Mar 2023	4 sty 2025	DOT	0.00005191	0$	0$	0$
14 Mar 2023	4 sty 2025	DOT	0.00005194	0$	0$	0$
15 Mar 2023	4 sty 2025	DOT	0.00007887	0$	0$	0$
15 Mar 2023	4 sty 2025	DOT	0.00011131	0$	0$	0$
16 Mar 2023	4 sty 2025	DOT	0.00021147	0$	0$	0$
16 Mar 2023	4 sty 2025	DOT	0.00014786	0$	0$	0$
20 Mar 2023	4 sty 2025	DOT	0.00013266	0$	0$	0$
20 Mar 2023	4 sty 2025	DOT	0.00016264	0$	0$	0$
20 Mar 2023	4 sty 2025	DOT	0.00014531	0$	0$	0$
20 Mar 2023	4 sty 2025	DOT	0.00003044	0$	0$	0$
20 Mar 2023	4 sty 2025	DOT	0.00027568	0$	0$	0$
20 Mar 2023	4 sty 2025	DOT	0.00007587	0$	0$	0$
21 Mar 2023	4 sty 2025	DOT	0.00016849	0$	0$	0$
21 Mar 2023	4 sty 2025	DOT	0.00018626	0$	0$	0$
21 Mar 2023	4 sty 2025	DOT	0.00006294	0$	0$	0$
21 Mar 2023	4 sty 2025	DOT	0.00003168	0$	0$	0$
21 Mar 2023	4 sty 2025	DOT	0.00003734	0$	0$	0$
22 Mar 2023	4 sty 2025	DOT	0.00014253	0$	0$	0$
